address,code,description,floor,latitude,longitude,photos,price_local,price_usa,views_day,views_week,zones,Агентство,Балкон,Бытовая техника,Год постройки,Дата обновления,Дополнительно,Мебель,Метро,Планировка,Плита,Полы,Примечания,Район города,Ремонт,Сан/узел,Соседи по квартире,Телефон,Тип дома,rooms,total_area,living_area,kitchen_area,floors,plan_proc,panel_type,photos_proc,Ближайшее метро,До метро,До центра
"Минск, Логойский тракт",1217100,,3,53.94964,27.615829,3.0,356,180,19,19,Восток,0,1,холодильник,2003.5714285714287,2017-12-27,"металлическая дверь, стеклопакеты, окна во двор",1,нет,Пропуск,1,,"Сдается 1-квартира в Зеленом Луге, по Логойскому тракту. Квартира в идеальном состоянии с аккуратным ремонтом и хорошей мебелью. Стеклопакеты, с/у облицован современной плиткой, шкаф-купе в прихожей, интернет.Агент",Первомайский район,0,1,нет,1,Пропуск,1,33.0,18.0,9.0,9,1.0,0,3.0,Маскоўская,2536.316747011043,6346.702407392369
"Минск, Холмогорский 2-й пер., 2",1216469,,1,53.8882,27.651,9.0,356,180,33,186,"Дражня, Холмогорская",0,1,"холодильник, стиральная машина, интернет",2011.0,2017-12-24,"парковка, детская площадка",0,нет,новостройка,0,линолеум,"Сдам порядочной семье или молодой паре 1 комнатную квартиру, на длительный промежуток времени не менее 1 года. Имеется: диван, односпальная кровать, два шкафа, холодильник, стиральная машина, интернет, под лоджией имеется подвал, без домашних животных. Никто не прописан. Предоплата за два месяца. Договор. Студентам и агентам не беспокоить.",Партизанский район,0,1,нет,1,панельный,1,40.0,17.0,9.0,10,1.0,1,9.0,Партызанская,1967.509926995286,6096.310169349808
"Минск, Куприянова ул., 19",1215983,,7,53.898,27.5199,8.0,396,200,18,160,"Р.Люксембург, К.Либкнехта",0,1,интернет,1966.0,2017-12-22,"металлическая дверь, лифт, окна во двор",0,Молодежная (Заводская линия).,брежневка,0,,"1 комнатная квартира на ул.Куприянова. После ремонта. Металлическая дверь, натяжные потолки, новые обои, ламинат на кухне. Из мебели : диван, стол – в комнате; новые шкафчики на кухне (частично), стол, стулья; в прихожей – вешалка и комод. Кладовка. Сдается на длительный срок.",Московский район,0,1,нет,1,кирпичный,1,31.0,17.0,7.0,9,0.0,0,8.0,Маладзёжная,987.5111443009256,2778.6534581745445
"Минск, Космонавтов ул., 12",1207670,,5,53.8534,27.4625,6.0,435,220,20,182,Малиновка,1,1,"холодильник, свч-печь, стиральная машина, интернет",2013.0,2017-12-07,"домофон, металлическая дверь, лифт, стеклопакеты, рядом супермаркет",1,Малиновка (Московская линия).,новостройка,1,линолеум,"Сдается однокомнатная квартира в новом доме, есть мебель и бытовая техника, 7 минут пешком до ст. м. Малиновка.",Московский район,0,1,нет,1,панельный,1,35.0,18.0,7.0,9,1.0,1,6.0,Малінаўка,898.1169759188766,8499.264095985127
"Минск, Коласа ул., 50/3",1216085,,1,53.9363,27.6064,7.0,435,220,28,365,"Независимости, Кедышко, Волгоградская",0,1,"холодильник, стиральная машина, душевая кабина, интернет",1962.0,2017-12-22,"домофон, металлическая дверь, встроенные шкафы, стеклопакеты, парковка, окна во двор",1,"Парк Челюскинцев, до метро 15 мин. пешком (Московская линия).",хрущевка,0,ламинат,,Первомайский район,0,1,нет,1,панельный,1,31.0,18.0,7.0,5,0.0,1,7.0,Парк Чалюскінцаў,1426.4533492936926,4781.894640049914
"Минск, Берута ул., 16/3",1040424,"1-комн. квартира недалеко от ст.м. Пушкинская по ул. Берута, 16/3. В квартире имеется всё необходимое для проживания. В комнате переклеиваются обои. Коммунальные платежи небольшие.",1,53.901794,27.503179,16.0,455,230,12,118,Пушкина-Харьковская-Берута-Гусовского,1,0,"холодильник, посуда, свч-печь, мелкая бытовая техника, стиральная машина, душевая кабина, телевизор, интернет",1964.0,2017-12-26,"домофон, металлическая дверь, стеклопакеты, рядом магазин",1,Пушкинская (Заводская линия).,хрущевка,0,ламинат,,Фрунзенский район,0,1,нет,1,панельный,1,31.0,19.0,6.0,5,0.0,1,16.0,Пушкінская,946.9128652837061,3832.9558387648817
"Минск, Шугаева ул., 9",1216621,,5,53.9406,27.6795,10.0,495,250,43,221,Уручье,0,1,"холодильник, стиральная машина, телевизор, интернет, высокоскоростной интернет, компьютерная сеть",1992.0,2017-12-25,"металлическая дверь, лифт, встроенные шкафы, стеклопакеты, окна во двор, рядом магазин",1,Уручье (Московская линия).,улучшенный проект,1,ламинат,Квартира студия,Первомайский район,1,1,нет,1,монолитный,1,37.0,12.0,7.0,21,1.0,0,10.0,Уручча,766.4693349892594,8837.835464444257
"Минск, Руссиянова ул., 29",1216900,,5,53.93364,27.68685,7.0,495,250,18,42,Уручье,0,1,"холодильник, стиральная машина, интернет, высокоскоростной интернет, компьютерная сеть",1987.0,2017-12-26,"домофон, металлическая дверь, лифт, встроенные шкафы, стеклопакеты, хороший вид из окна, детская площадка, рядом магазин, рядом супермаркет, рядом рынок, рядом спортивный центр",0,Уручье (Московская линия).,стандартный проект,1,ламинат,"Сдается 1-х комнатная квартира в Уручье на длительный срок! Хороший ремонт, современная отделка.Фотографии соответствуют действительности. Сдается на длительный срок.",Первомайский район,0,1,нет,1,панельный,1,33.0,18.0,8.0,9,0.0,1,7.0,Уручча,1308.7478463348662,8936.963866599968
"Минск, Червякова ул., 2/3",1201075,,5,53.92,27.5538,7.0,495,250,13,122,"Червякова, Шевченко",1,1,"холодильник, свч-печь, стиральная машина, телевизор, интернет",1984.0,2017-12-27,,1,Немига (Заводская линия).,стандартный проект,0,линолеум,"Сдается на длительный срок аккуратная квартира с мебельюв центре города (10 минут до метро пл. Победы, Немига, пл. Я. Коласа). Телевизор, холодильник, столы, шкафы, стиральная машина, холодильник, СВЧ. В 250 у.е. входит оплата хозяином квартиры квартплаты.",Центральный район,0,1,нет,1,панельный,1,34.0,17.0,8.0,9,0.0,1,7.0,Няміга,1576.4072499293427,2012.578899862618
"Минск, Козыревская ул., 70",983531,,13,53.858826,27.567944,16.0,515,260,17,117,Маяковского,1,1,"холодильник, посуда, свч-печь, стиральная машина, телевизор, интернет, высокоскоростной интернет",1994.0,2017-12-21,"домофон, металлическая дверь, лифт, встроенные шкафы, стеклопакеты, парковка, хороший вид из окна, благоустроенный двор, детская площадка, рядом магазин, рядом гипермаркет, рядом рынок, рядом спортивный центр, рядом зеленая зона",1,нет,стандартный проект,1,ламинат,,Ленинский район,1,1,нет,1,панельный,1,38.0,18.0,7.0,16,0.0,1,16.0,Інстытут Культуры,3505.1548476614466,4879.139867783299
