,Unnamed: 0,address,area,code,description,floor,kv,latitude,longitude,photos,price_local,price_usa,views_day,views_week,zones,Агентство,Балкон,Бытовая техника,Вид этажа,Год кап.ремонта,Год постройки,Дата обновления,Дополнительно,Мебель,Метро,На Новый год,Направление,Населенный пункт,Планировка,Плита,Полы,Предоплата,Примечания,Район (области),Район города,Ремонт,Сан/узел,Соседи по квартире,Специалист,Срок сдачи,Телефон,Тип дома,УНП,Условия сдачи,Услуга агентства,Число спальных мест,Этаж / этажность,До центра,До метро
0,0,"Минск, Шпилевского ул., 60/-",85/17/0,1195012,, 9/10 м , к/3 ,53.845934,27.564095,,222 руб/месяц,109 $/месяц,16,54,Лошица,,2 лоджии,"холодильник, свч-печь, стиральная машина, телевизор, интернет, компьютерная сеть",,,2010.0,2017-11-15,"домофон, сигнализация, металлическая дверь, лифт, встроенные шкафы, стеклопакеты, парковка, благоустроенный двор, детская площадка, рядом магазин, рядом гипермаркет",есть,Пролетарская,,,Минск,улучшенный проект,электрическая,ламинат,месяц,,,Ленинский район,нормальный ремонт,раздельный,1 человек,,длительный,есть,монолитный,,не компаниям,,,9 / 10,6516,5126
1,1,"Минск, Космонавтов ул., 11",88/15/0,1205880,, 8/9 п , к/4 ,53.8529,27.4688,1.0,224 руб/месяц,110 $/месяц,19,77,Малиновка,,2 балкона застекленные,"холодильник, мелкая бытовая техника, стиральная машина",,,1988.0,2017-12-05,"домофон, лифт, встроенные шкафы, стеклопакеты, парковка, хороший вид из окна, окна во двор, благоустроенный двор, рядом магазин, рядом супермаркет, рядом гипермаркет, рядом рынок, рядом зеленая зона",есть,Малиновка,,,Минск,стандартный проект,электрическая,ламинат,месяц,"СРОЧНОСдается большая проходная комната на длительный срок в 4-х комнатной квартире. Из комнаты имеется выход на застекленную лоджию, в кладовку. Очень удобное месторасположение – 3 минуты до метро Малиновка, рядом гипермаркет, парк, множество магазинов, развита инфраструктура. В квартире есть все необходимое для комфортного проживания – холодильник, плита, духовка, стиральная машина, большой шкаф-купе, мебель, застекленная лоджия. Проживание без хозяев. 110дол",,Московский район,отличный ремонт,раздельный,3 человека,,длительный,нет,панельный,,,,,8 / 9,8359,552
2,2,"Минск, Мазурова ул., 12",80/15/0,1206829,, 6/9 б , к/3 ,53.8978,27.4249,2.0,220 руб/месяц,108 $/месяц,21,62,"Запад, Красный Бор",,балкон,"холодильник, посуда, свч-печь, мелкая бытовая техника, стиральная машина, интернет, высокоскоростной интернет, компьютерная сеть",,,1999.0,2017-12-06,"домофон, сигнализация, лифт, встроенные шкафы, парковка, хороший вид из окна, окна во двор, благоустроенный двор, детская площадка, рядом магазин, рядом гипермаркет, рядом рынок, рядом спортивный центр, рядом зеленая зона",есть,Каменная горка,,,Минск,улучшенный проект,газовая,,месяц,,,Фрунзенский район,нормальный ремонт,раздельный,,,длительный,есть,блок-комнаты,,,,,6 / 9,8982,1317
3,3,"Минск, Солнечная ул., 30",62/10/6,631596,, 2н/5 б , к/4 ,53.862435,27.568182,,220 руб/месяц,108 $/месяц,16,30,Маяковского,,нет,"холодильник, посуда, свч-печь, мелкая бытовая техника, стиральная машина, телевизор, интернет, высокоскоростной интернет",,2017.0,1966.0,2017-11-03,"домофон, металлическая дверь, рядом магазин, рядом супермаркет",есть,Институт Культуры,,,Минск,стандартный проект,газовая,паркет,месяц,"Договор; для парня; без хозяев; к-та закр. на ключ; в к-те: д-кровать, 2 шкафа, стол, стол, банкетка, без дом. животных, рядом автобусная ост., магазин, кафе, дет. сад, недалеко евроопт, 5-ый элемент, червенский рынок, аптека, 6 остановок от жд-вокзала; для общ. пользования: электрочайник, утюг, пылесос; тихий двор.",,Ленинский район,нормальный ремонт,раздельный,2 человека,,длительный,есть,блок-комнаты,,не компаниям,,,2 / 5,4699,3198
4,4,"Минск, Голодеда ул.",30/8/0,1203463,, 7/9 к , 1/1 ,53.841086,27.644423,,180 руб/месяц,"88,4 $/месяц",26,230,Чижовка,,лоджия застекленная + вагонка,"холодильник, посуда, стиральная машина, телевизор",,,,2017-11-30,"домофон, лифт, хороший вид из окна, рядом магазин, рядом рынок, рядом спортивный центр, рядом зеленая зона",есть,Могилевская,,,Минск,,газовая,,,Ищу на подселение девушку в аккуратную однокомнатную квартиру.,,Заводской район,,совмещенный,,,длительный,есть,кирпичный,,,,,7 / 9,8906,3032
5,5,"Минск, Илимская ул., 33",35/15/0,1203631,, 8/9 п , 1/1 ,53.8887,27.6819,,285 руб/месяц,140 $/месяц,26,222,Ангарская,Тэтравита,,,,,1985.0,2017-12-01,,,Могилевская,,,Минск,чешский проект,,,,"В Заводском районе по ул. Илимская,33 сдается однокомнатная квартира. Без мебели и бытовой техники. На кухне плита газовая, два шкафчика, стол, стулья. Комната пустая. Пол линолеум. Санузел раздельный. Этаж 8/9. Лоджия застеклена. Прописан 1 человек. До метро ` Могилевская ` - 5 остановок.",,Заводской район,,,,,длительный,,панельный,,,по факту,,8 / 9,8084,3016
6,6,"Минск, Короля ул., 30",38/18/7,1171766,, /5 , 1/1 ,53.904287,27.537854,2.0,366 руб/месяц,180 $/месяц,29,323,"Немига, Короля",,балкон,"холодильник, посуда, мелкая бытовая техника, стиральная машина, телевизор, высокоскоростной интернет",,,,2017-11-10,"домофон, металлическая дверь, встроенные шкафы, стеклопакеты, парковка, хороший вид из окна, благоустроенный двор, детская площадка, рядом магазин, рядом супермаркет, рядом гипермаркет, рядом зеленая зона",есть,Фрунзенская,,,Минск,,,ламинат,не нужна,,,Московский район,отличный ремонт,раздельный,,,длительный,есть,,,не компаниям,,,5 этажей,1549,150
7,7,"Минск, Ванеева ул., 14",30/19/0,1205043,, 2/5 п , 1/1 ,53.8828,27.6134,,366 руб/месяц,180 $/месяц,17,142,Тракторный Завод,,балкон,"холодильник, телевизор, интернет",,,,2017-12-03,"домофон, металлическая дверь, окна во двор, рядом магазин, рядом рынок",есть,Тракторный завод,,,Минск,хрущевка,газовая,деревянные,месяц,"Сдам на длительный срок 1- комнатную квартиру по ул.Ванеева 14. Хорошее транспортное сообщение, пять минут пешком до ст. метро Тракторный завод. Рядом парк, аптека, мини-рынок, универсам. Квартира в хорошем состоянии. Есть вся мебель, телефон, интернет, холодильник, телевизор. Прописан 1 человек. 180 у.е.+коммунальные.",,Партизанский район,нормальный ремонт,совмещенный,,,длительный,есть,панельный,,семье,,,2 / 5,4171,757
8,8,"Минск, Лучины ул., 4",40/30/0,1208708,, 3/9 п , 1/1 ,53.838618,27.566619,6.0,407 руб/месяц,200 $/месяц,27,27,Лошица,Тэтравита,лоджия,"холодильник, телевизор, интернет",,,2004.0,2017-12-08,"домофон, металлическая дверь, лифт, стеклопакеты, рядом магазин",есть,Пролетарская,,,Минск,новостройка,,ламинат,,,,Ленинский район,отличный ремонт,раздельный,,,длительный,,панельный,,,по факту,,3 / 9,7335,5874
9,9,"Минск, Барамзиной ул., 8",34/17/9,875637,, 3/5 б , 1/1 ,53.876547,27.905571,8.0,448 руб/месяц,220 $/месяц,13,82,Сокол,,балкон застекленный,"холодильник, посуда, мелкая бытовая техника, стиральная машина, высокоскоростной интернет",,2009.0,1989.0,2017-12-05,"домофон, металлическая дверь, встроенные шкафы, стеклопакеты, рядом супермаркет, рядом зеленая зона",есть,Могилевская,,,Минск,улучшенный проект,газовая,ламинат,месяц,"М-н Сокол (см. карту). Современный ремонт, вся мебель и техника: кухня со встроенной техникой, большой холодильник, стиральная машина, шкафы в прихожей и комнате, диван, кресла, интернет оптоволокно - ByFly + Zala. В шаговой доступности школа, д. сад, поликлиника, почта, Корона, Евроопт, др. магазины. Рядом лес, река Волма и Петровичское водохранилище. Договор, собственник. Оплата - 1 месяц + залог.",,Октябрьский район,отличный ремонт,раздельный,,,длительный,есть,блок-комнаты,,,,,3 / 5,22766,15263
